device_info_serial,date_time,latitude,longitude,altitude,temperature,satellites_used,positiondop,speed_2d,direction
311,2010-07-26 20:29:19,530.082.743,47.181.627,6,,6,5.5,800.254.332.118.325,589.958.717.654.085
311,2010-07-26 21:16:10,530.081.625,47.182.975,5,,5,6.2,130.281.041.799.802,559.048.889.461.683
311,2010-07-26 21:56:44,530.082.265,47.181.389,0,,7,2.5,387.151.783.423.957,179.348.876.488.669
311,2010-07-26 22:37:08,530.044.141,47.142.544,-3,,5,3.8,108.643.963.700.689,832.028.245.789.434
311,2010-07-26 23:17:30,528.587.892,46.247.628,,,4,1.9,263.766.919.213.521,-127.006.006.718.633
311,2010-07-26 23:58:32,528.475.585,46.373.491,-9,,5,4.4,314.147.249.673.886,-151.858.115.857.657
311,2010-07-27 0:38:48,528.419.347,46.257.986,-9,,5,4.1,642.333.627.818.004,-138.858.857.911.621
311,2010-07-27 1:19:21,528.361.948,46.153.951,-11,,5,3.6,241.557.426.190.253,-157.041.069.335.164
311,2010-07-27 1:59:59,528.346.612,4.625.303,,,3,6.4,134.513.334.476.248,402.972.854.590.496
311,2010-07-27 2:41:12,528.506.285,46.092.678,,,3,5.1,157.038.211.909.948,-313.378.235.859.495
311,2010-07-27 3:21:48,528.789.112,46.076.208,,,4,2.6,78.571.569.032.267,117.087.036.692.312
311,2010-07-27 4:02:18,528.143.103,4.454.501,-22,,5,7.2,885.151.291.803.917,-121.477.221.825.817
311,2010-07-27 4:42:35,527.446.583,44.472.401,,,4,2.4,121.987.654.642.082,357.769.148.146.487
311,2010-07-27 5:23:10,527.889.302,44.743.212,-7,,5,4.4,116.295.885.503.823,144.561.931.044.389
311,2010-07-27 6:24:36,527.226.244,43.429.774,48,,5,2.4,87.088.515.037.697,-162.911.690.078.357
311,2010-07-27 6:46:40,526.713.214,43.283.446,0,,5,3.8,10.787.010.717.058,546.540.758.621.058
311,2010-07-27 7:07:10,526.754.127,43.402.233,,,4,3.7,681.835.558.254.823,760.612.691.293.784
311,2010-07-27 7:27:29,526.782.258,43.514.872,,,3,7,461.587.852.748.406,807.083.982.002.713
311,2010-07-27 7:47:59,526.793.615,4.362.019,-10,,4,4,761.628.350.714.579,957.482.392.423.994
311,2010-07-27 8:08:12,527.036.505,42.836.521,,,3,2.2,142.011.014.781.725,217.343.464.809.323
311,2010-07-27 8:28:31,527.166.332,43.000.775,18,,4,4.2,259.801.557.142.494,109.067.585.347.258
311,2010-07-27 8:48:54,527.166.695,42.995.613,28,,5,4,232.585.362.289.164,-834.069.376.250.343
311,2010-07-27 9:09:28,527.166.499,42.997.017,27,,5,3.6,202.075.919.744.963,-158.221.668.277.559
311,2010-07-27 9:29:53,526.978.685,42.392.512,,,3,4.7,839.147.159.177.642,-124.244.731.928.532
311,2010-07-27 9:51:28,526.280.596,41.494.037,,,3,3.6,958.917.617.244.691,147.895.995.684.502
311,2010-07-27 10:12:14,526.208.181,41.980.807,1,,8,2.4,524.777.466.106.312,175.650.610.470.365
311,2010-07-27 10:32:19,526.229.484,42.496.324,0,,7,3.2,558.030.463.248.606,143.163.686.450.748
311,2010-07-27 10:52:40,526.173.609,42.521.573,-8,,6,6.3,336.447.666.540.463,150.984.551.225.154
311,2010-07-27 11:13:11,526.096.239,41.883.925,-7,,6,4.3,105.543.175.081.862,-589.124.635.066.311
311,2010-07-27 11:33:28,526.203.879,40.820.494,-4,,5,8.6,336.600.412.208.965,158.647.019.099.894
311,2010-07-27 11:53:49,52.620.883,41.072.439,-2,,4,9.2,422.588.766.471.594,-161.605.211.714.019
311,2010-07-27 12:14:19,526.171.279,41.107.989,-6,,4,2.3,159.373.339.043.357,-514.542.220.100.164
311,2010-07-27 12:34:38,526.148.701,41.111.214,-7,,6,3.2,182.480.769.581.804,170.582.024.117.865
311,2010-07-27 12:54:46,526.144.577,41.143.382,-8,,6,2.2,698.424.699.237.917,334.493.604.574.192
311,2010-07-27 13:15:15,52.674.972,42.609.816,85,,5,4.9,170.897.918.024.003,525.652.040.409.611
311,2010-07-27 13:36:24,52.787.476,45.113.595,191,,5,5.6,168.262.693.817.617,381.366.001.075.239
311,2010-07-27 13:56:47,529.125.927,47.152.759,73,,4,8.8,696.712.885.954.632,80.037.421.943.443
311,2010-07-27 14:17:12,53.008.309,47.180.858,-6,,5,4.8,422.597.243.272.782,-636.863.581.827.357
311,2010-07-27 14:37:42,53.008.227,47.181.307,-2,,5,3.1,251.594.856.639.975,433.219.317.453.204
311,2010-07-27 14:58:02,53.008.222,47.181.261,-5,,4,3.2,137.468.213.700.342,75.105.905.492.062
311,2010-07-27 15:21:41,530.184.852,47.238.701,-7,,4,3.1,126.881.964.514.773,131.710.741.586.828
311,2010-07-27 15:42:17,530.182.624,47.237.459,,,3,3.8,199.754.433.674.858,937.765.513.859.498
311,2010-07-27 16:02:42,530.182.386,47.236.487,,,3,4.2,217.934.832.953.363,-107.753.912.083.653
311,2010-07-27 16:23:15,530.182.452,47.236.715,,,3,5.2,299.631.661.802.328,937.764.909.557.256
311,2010-07-27 16:43:49,530.182.344,47.236.341,-4,,4,4,331.935.046.791.502,996.562.223.604.124
311,2010-07-27 17:04:28,530.181.423,47.235.789,,,3,3.6,182.141.946.078.259,-773.802.504.011.599
311,2010-07-27 17:25:15,530.181.529,47.235.517,,,3,5.7,499.386.131.462.872,-862.236.095.471.778
311,2010-07-27 17:45:47,53.008.236,47.181.385,,,3,3.5,26.644.694.377.382,-305.690.257.542.478
311,2010-07-27 18:26:44,530.082.424,47.181.054,3,,8,1.6,994.871.701.803.878,118.744.775.722.955
311,2010-07-27 19:07:30,529.972.212,47.225.871,-2,,7,2.2,0,0
311,2010-07-27 19:47:56,529.972.361,47.225.454,,,3,7.4,40.791.563.949.024,-777.593.874.745.068
311,2010-07-27 20:28:17,529.971.988,47.226.845,-5,,6,4.5,812.163.434.895.619,103.701.812.524.331
311,2010-07-27 21:09:05,529.971.824,47.228.045,-11,,5,4.3,99.877.145.677.223,937.747.541.665.812
311,2010-07-27 21:49:44,529.972.197,47.227.029,-3,,7,2.3,927.350.951.014.665,8.005.302.299.026
311,2010-07-27 22:30:02,529.972.212,47.226.361,-8,,7,2.7,210.939.577.664.028,-104.456.251.195.629
311,2010-07-27 23:10:41,529.971.516,47.227.081,2,,6,3,0,0
311,2010-07-27 23:50:59,529.971.183,47.227.848,9,,4,4.8,800.141.171.541.358,-174.093.787.803.328
311,2010-07-28 0:31:44,529.971.482,47.226.815,-8,,6,3.3,222.932.446.249.421,-774.506.435.921.614
311,2010-07-28 1:12:00,529.971.258,47.226.741,-8,,5,5.6,94.856.231.390.505,-437.929.733.458.404
311,2010-07-28 1:52:39,529.971.412,47.226.454,-8,,6,2.6,125.631.476.895.313,13.330.260.337.319
311,2010-07-28 2:32:58,530.003.151,47.165.719,9,,4,8.6,706.268.809.085.447,287.861.037.982.579
311,2010-07-28 3:13:37,529.488.444,47.188.904,40,,6,2,97.509.944.015.469,-162.145.491.658.445
311,2010-07-28 3:54:07,527.859.571,47.711.743,0,,5,5.2,360.150.953.294.445,177.495.119.910.102
311,2010-07-28 4:35:05,527.390.082,47.454.303,20,,6,2.6,107.914.154.926.151,-173.825.175.909.295
311,2010-07-28 5:15:48,527.364.492,47.436.243,-13,,4,6.7,171.498.773.598.112,-141.000.203.315.127
311,2010-07-28 5:56:26,527.374.824,4.742.397,-8,,5,4.5,364.973.645.849.074,-16.305.692.056.617
311,2010-07-28 6:17:06,527.365.507,47.435.446,-14,,8,1.7,797.433.420.837.214,-174.047.576.554.491
311,2010-07-28 6:37:20,527.367.161,47.434.889,-13,,6,2.8,33.163.557.108.732,-612.317.575.840.016
311,2010-07-28 6:57:31,527.367.989,47.434.153,-12,,6,2.2,250.836.467.659.882,133.225.236.352.576
311,2010-07-28 7:17:45,527.369.115,4.743.208,-17,,5,3.1,172.618.764.032.105,148.033.451.971.112
311,2010-07-28 7:38:08,527.516.298,46.999.764,81,,5,2.6,823.612.700.134.399,-465.676.225.188.643
311,2010-07-28 7:58:37,527.351.861,46.659.016,-3,,5,3.7,998.786.255.561.141,-862.836.534.055.659
311,2010-07-28 8:19:09,527.935.596,46.727.841,22,,8,1.9,123.526.893.204.572,23.672.808.051.658
311,2010-07-28 8:39:19,529.163.143,47.144.732,24,,7,2.3,120.654.746.385.371,647.780.951.817.328
311,2010-07-28 8:59:40,530.082.236,4.718.034,-2,,6,2.4,938.083.435.420.453,-55.447.676.457.816
311,2010-07-28 9:20:32,529.879.186,47.042.138,,,5,2.1,442.770.813.505.192,-161.703.343.254.709
311,2010-07-28 9:41:01,529.498.046,46.173.544,0,,6,1.8,777.134.477.463.982,-134.647.728.693.884
311,2010-07-28 10:01:18,528.747.767,45.299.016,18,,4,4.1,981.234.408.256.557,-160.759.042.427.885
311,2010-07-28 10:21:57,52.824.701,45.414.463,2,,4,7.2,399.556.905.789.598,-179.391.227.908.781
311,2010-07-28 10:43:08,527.950.312,45.542.076,,,3,3.7,321.267.782.161.609,-14.050.747.453.155
311,2010-07-28 11:03:34,527.715.167,45.214.106,,,3,4,854.449.587.560.951,-153.636.907.935.725
311,2010-07-28 11:24:00,527.617.247,45.174.629,,,3,3.4,198.997.472.759.784,338.051.028.456.728
311,2010-07-28 11:44:38,527.598.764,45.413.469,-17,,5,3.8,80.844.689.907.632,-159.105.049.059.504
311,2010-07-28 12:04:54,527.641.378,44.837.614,31,,4,8.3,467.874.955.803.164,-712.232.851.292.018
311,2010-07-28 12:25:18,526.986.727,44.029.728,11,,4,8.4,758.781.689.219.989,-108.442.737.067.306
311,2010-07-28 12:45:54,526.158.282,43.152.402,34,,5,2.4,628.249.891.494.464,-115.928.027.391.292
311,2010-07-28 13:29:44,525.907.916,43.761.104,-3,,6,3.2,483.102.798.977.757,-168.200.173.981.485
311,2010-07-28 13:50:05,52.586.897,43.762.249,-5,,5,3,542.854.416.453.107,-173.364.971.446.166
311,2010-07-28 14:10:31,5.258.389,43.769.256,-4,,5,2.6,478.502.324.748.109,170.293.198.641.585
311,2010-07-28 14:30:48,525.858.675,43.763.559,-1,,6,3.6,690.783.612.842.053,-272.896.466.517.955
311,2010-07-28 14:51:20,525.966.492,43.252.673,0,,5,3.3,963.760.191.130.728,-122.139.866.364.683
311,2010-07-28 15:11:37,525.687.684,41.807.027,25,,6,3.1,917.080.673.031.288,-705.244.568.776.723
311,2010-07-28 15:32:11,525.332.576,41.651.537,-6,,5,3.2,828.852.846.058.085,-14.270.201.747.982
311,2010-07-28 15:52:46,525.376.603,4.163.891,-8,,5,2.4,966.949.357.419.087,-802.799.855.109.371
311,2010-07-28 16:13:08,525.461.079,41.643.438,-6,,4,6.6,565.399.886.138.714,-731.316.742.979.572
311,2010-07-28 16:33:44,525.562.843,41.638.016,-4,,6,2.4,978.825.760.457.359,-729.814.887.732.896
311,2010-07-28 16:54:01,525.656.107,41.634.318,-5,,6,2.5,598.829.067.987.739,613.941.465.646.437
311,2010-07-28 17:14:24,525.573.099,41.566.019,-3,,5,3.3,667.199.679.200.244,-110.885.359.425.168
311,2010-07-28 17:34:43,525.402.314,41.512.185,-4,,5,2.8,780.695.262.587.779,217.393.857.383.363
311,2010-07-28 17:55:14,525.489.018,41.527.784,-7,,6,1.8,722.426.285.988.022,120.638.650.329.137
311,2010-07-28 18:35:30,525.617.434,41.058.283,-7,,5,3.1,702.209.363.229.776,156.132.504.460.141
311,2010-07-28 19:16:01,525.770.528,40.743.692,,,3,4.6,47.336.560.655.219,-125.479.008.939.072
311,2010-07-28 19:56:12,525.497.194,4.082.839,,,3,2.3,574.238.296.677.907,12.246.587.622.048
311,2010-07-28 20:37:32,525.560.134,41.974.122,-5,,9,1.8,493.659.796.348.282,178.682.869.543.206
311,2010-07-28 21:18:04,525.423.477,41.905.978,-7,,6,3.1,562.316.128.448.131,-159.059.854.896.415
311,2010-07-28 21:58:19,525.278.078,41.821.286,,,4,2.6,747.857.442.704.939,-149.596.962.219.599
311,2010-07-28 22:38:58,525.114.311,41.690.838,-1,,5,7.6,889.544.580.704.774,-154.205.374.524.717
311,2010-07-28 23:19:27,524.974.804,41.546.353,,,3,6.3,660.373.884.644.882,-145.669.014.178.759
311,2010-07-29 0:00:14,524.894.029,4.143.327,-7,,7,2.1,560.889.900.216.024,-136.745.093.018.491
311,2010-07-29 0:40:47,524.764.647,41.296.313,-19,,5,7.9,873.366.805.059.997,-175.846.041.354.824
311,2010-07-29 1:21:10,524.656.765,41.206.583,-11,,6,2.1,367.810.914.405.174,-161.099.581.507.683
311,2010-07-29 2:01:30,524.575.863,41.139.616,3,,5,5.2,1.984.517.616.519,-135.832.108.311.369
311,2010-07-29 2:42:12,524.546.037,41.130.627,4,,6,4.1,507.905.074.064.328,-234.539.415.948.364
311,2010-07-29 3:22:38,524.755.405,41.086.513,11,,5,2.4,825.427.083.642.187,47.954.400.048.211
311,2010-07-29 4:03:36,525.191.233,4.070.331,-6,,6,2.7,562.604.368.760.727,296.509.759.044.108
311,2010-07-29 4:44:10,525.030.964,41.970.615,6,,5,6.9,353.478.398.383.292,918.330.451.836.873
311,2010-07-29 5:24:34,524.663.032,42.489.542,-4,,5,3.3,556.140.682.128.716,439.025.302.461.597
311,2010-07-29 6:01:39,524.682.498,41.926.271,-6,,6,2,68.629.432.479.055,566.658.995.280.147
311,2010-07-29 6:21:55,524.722.695,42.352.186,3,,6,2.1,528.555.181.176.675,569.663.653.436.706
311,2010-07-29 6:42:08,524.747.238,4.243.199,-11,,4,4.5,345.683.211.291.627,451.108.725.102.815
311,2010-07-29 7:02:24,524.766.612,42.486.593,-9,,4,3.5,498.384.114.620.759,780.431.582.373.054
311,2010-07-29 7:22:42,524.785.996,42.649.577,,,3,2.5,351.564.866.819.859,789.169.051.723.253
311,2010-07-29 7:43:05,524.866.595,42.040.671,,,3,2.6,434.613.154.013.962,507.858.304.052.212
311,2010-07-29 8:04:02,524.864.289,42.087.933,-4,,7,2,590.072.089.927.717,474.331.358.545.781
311,2010-07-29 8:24:29,525.080.604,41.759.674,10,,5,4.2,364.857.506.431.672,134.281.595.878.735
311,2010-07-29 8:44:53,525.212.355,41.604.124,5,,6,3.4,667.974.340.152.057,1.649.744.605.397
311,2010-07-29 9:04:59,52.538.059,42.662.058,19,,6,3.5,765.334.431.756.728,-267.624.953.196.002
311,2010-07-29 9:25:30,525.548.252,42.845.091,0,,6,2.8,713.581.705.415.527,-156.925.519.765.324
311,2010-07-29 9:46:14,525.528.549,43.150.209,6,,5,4.7,3.263.423.868.823,-755.954.788.311.194
311,2010-07-29 10:06:28,52.619.119,44.500.358,26,,5,4,81.789.600.773.244,487.691.123.831.253
311,2010-07-29 10:26:45,526.632.046,45.344.647,,,3,3.5,462.136.206.274.666,-124.135.645.235.577
311,2010-07-29 10:46:52,527.206.258,46.403.905,,,4,2.1,945.864.102.205.082,108.084.062.059.602
311,2010-07-29 11:07:25,528.110.021,4.681.382,,,4,2.3,987.265.841.888.711,149.000.355.355.049
311,2010-07-29 11:28:09,529.112.049,4.714.148,18,,8,1.6,971.151.518.981.139,280.355.077.394.273
311,2010-07-29 11:48:29,530.044.177,47.205.911,2,,6,3.8,798.206.553.653.034,-103.126.191.191.905
311,2010-07-29 12:11:29,530.081.823,47.180.793,3,,6,3.4,551.439.491.521.937,-166.803.771.536.469
311,2010-07-29 12:31:42,530.071.917,4.713.339,5,,6,3.7,663.437.245.530.027,-1.020.590.916.779
311,2010-07-29 13:15:11,529.355.908,4.454.006,17,,6,1.7,149.510.894.468.058,179.018.216.688.253
311,2010-07-29 13:35:35,528.161.316,44.645.907,32,,5,4.3,15.125.474.656.273,-131.885.404.884.308
311,2010-07-29 13:56:24,527.884.063,43.599.697,18,,4,3.2,555.159.421.417.159,-753.164.101.952.243
311,2010-07-29 14:18:14,527.059.546,42.536.407,-4,,4,3.2,113.089.208.345.682,-125.124.971.945.058
311,2010-07-29 14:38:56,526.738.453,42.150.226,,,3,5.9,990.929.280.157.149,-154.946.684.677.863
311,2010-07-29 14:59:38,526.086.232,41.945.951,-7,,5,4.1,125.262.482.747.571,-103.359.344.676.174
311,2010-07-29 15:20:00,52.567.778,41.896.661,3,,5,3.6,296.193.932.063.625,253.574.528.330.851
311,2010-07-29 15:40:11,525.628.034,42.235.722,-6,,5,2.6,870.603.905.028.435,814.588.155.781.973
311,2010-07-29 16:01:47,525.824.916,42.755.207,-6,,4,8.4,30.158.414.279.792,250.178.264.815.248
311,2010-07-29 16:22:23,525.919.748,42.812.157,,,3,3.3,430.577.937.944.101,654.426.987.848.009
311,2010-07-29 16:42:44,525.984.297,42.899.843,-7,,4,4.7,730.682.309.563.898,338.602.462.073.645
311,2010-07-29 17:02:51,526.061.448,42.992.682,,,3,5.6,991.663.929.236.067,357.575.596.976.322
311,2010-07-29 17:23:42,526.148.916,43.084.011,-8,,4,7.2,910.548.906.284.293,16.771.586.334.278
311,2010-07-29 17:44:04,526.234.683,43.172.084,-4,,4,3.4,805.103.448.506.015,366.116.886.561.113
311,2010-07-29 18:25:12,526.334.974,42.692.295,,,3,8.7,175.880.510.221.354,122.167.044.241.171
